InventoryId,Store,City,Brand,Description,Size,onHand,Price,startDate
57_LANTEGLOS_3487,57,LANTEGLOS,3487,Stolichnaya Blueberi,750mL,12,16.99,2024-01-01
72_HARDERSFIELD_42579,72,HARDERSFIELD,42579,Voga del Venezie Pnt Grigio,750mL,10,9.99,2024-01-01
6_GOULCREST_5058,6,GOULCREST,5058,Capt Morgan Long Isl Tea RTD,1.75L,7,17.99,2024-01-01
15_WANBORNE_58,15,WANBORNE,58,Gekkeikan Black & Gold Sake,750mL,9,12.99,2024-01-01
31_HORNSEY_4897,31,HORNSEY,4897,Remy Martin VSOP Cognac,50mL,17,4.49,2024-01-01
23_ARBINGTON_35668,23,ARBINGTON,35668,Redwood Creek Merlot Cal,1.5L,23,10.99,2024-01-01
75_BARNCOMBE_8627,75,BARNCOMBE,8627,Jadot Beaujolais Villages,750mL,20,7.98,2024-01-01
33_HORNSEY_42602,33,HORNSEY,42602,3 Blind Moose Chard Cal,750mL,7,8.99,2024-01-01
57_LANTEGLOS_38133,57,LANTEGLOS,38133,Il Bastardo Sangiovese Tosc,750mL,59,7.99,2024-01-01
39_EASTHALLOW_3396,39,EASTHALLOW,3396,Smirnoff Vanilla Vodka,1.75L,19,17.99,2024-01-01
10_HORNSEY_159,10,HORNSEY,159,Glenmorangie Original VAP,750mL + 2/,34,34.99,2024-01-01
51_ABERDEEN_34428,51,ABERDEEN,34428,Frei Bros RSV Chard RRV,750mL,63,15.99,2024-01-01
79_BALLYMENA_34219,79,BALLYMENA,34219,Simi Merlot,750mL,7,16.99,2024-01-01
48_NORFOLK_8233,48,NORFOLK,8233,Beaulieu Cab Svgn Rutherford,750mL,2,21.99,2024-01-01
48_NORFOLK_5148,48,NORFOLK,5148,St Brendans Irish Cream,1.75L,7,17.99,2024-01-01
9_BLACKPOOL_2723,9,BLACKPOOL,2723,J & B Rare,1.75L,25,29.99,2024-01-01
61_AETHELNEY_4829,61,AETHELNEY,4829,Mr Boston Blackberry Brandy,1.75L,12,13.99,2024-01-01
45_VERITAS_5339,45,VERITAS,5339,Drambuie,50mL,24,3.29,2024-01-01
44_PORTHCRAWL_5316,44,PORTHCRAWL,5316,Amaretto DiSaronno,50mL,44,2.29,2024-01-01
1_HARDERSFIELD_32968,1,HARDERSFIELD,32968,Alice White Chard Ausl,1.5L,18,13.99,2024-01-01
38_GOULCREST_4416,38,GOULCREST,4416,Cruzan Coconut Flavored Rum,750mL,16,9.99,2024-01-01
57_LANTEGLOS_3054,57,LANTEGLOS,3054,Smirnoff Kissed Caramel,750mL,17,10.99,2024-01-01
60_IRRAGIN_18778,60,IRRAGIN,18778,Once Upon A Vine Pnt Nr,750mL,2,9.99,2024-01-01
34_PITMERDEN_1657,34,PITMERDEN,1657,Dalwhinnie Distillers Edtion,750mL,10,69.99,2024-01-01
38_GOULCREST_13979,38,GOULCREST,13979,Jos Phelps Pnt Nr,750mL,9,34.99,2024-01-01
27_MOUNTMEND_24907,27,MOUNTMEND,24907,Bogle Old Vine Znfdl Cal,750mL,18,9.99,2024-01-01
75_BARNCOMBE_199,75,BARNCOMBE,199,Wisdom & Warter Cream Sherry,750mL,3,4.99,2024-01-01
50_MOUNTMEND_1384,50,MOUNTMEND,1384,Bulleit 95 Rye,750mL,59,27.99,2024-01-01
75_BARNCOMBE_25883,75,BARNCOMBE,25883,Honig Cab Svgn Napa,750mL,12,36.99,2024-01-01
7_STANMORE_35581,7,STANMORE,35581,Frogs Leap Merlot Napa,750mL,7,36.99,2024-01-01
